frame,x,y
0,177,496
1,180,498
2,184,516
3,187,523
4,186,507
5,182,495
6,183,476
7,182,457
8,187,453
9,186,440
10,185,432
11,182,436
12,181,430
13,179,429
14,183,436
15,184,439
16,183,443
17,182,450
18,178,471
19,178,484
20,183,507
21,183,521
22,179,499
23,180,491
24,175,472
25,170,457
26,169,457
27,164,447
28,160,439
29,161,448
30,156,444
31,153,444
32,153,458
33,151,460
34,148,467
35,142,474
36,145,497
37,142,509
38,140,506
39,140,490
40,139,476
41,139,465
42,140,456
43,140,450
44,140,445
45,138,440
46,139,442
47,139,444
48,140,449
49,139,457
50,139,467
51,137,489
52,135,502
53,136,495
54,141,475
55,146,457
56,151,443
57,156,430
58,148,429
59,153,420
60,158,416
61,161,412
62,165,412
63,170,415
64,174,420
65,177,426
66,182,437
67,185,454
68,188,472
69,191,489
70,196,509
71,195,498
72,194,486
73,190,476
74,189,468
75,186,465
76,184,463
77,181,464
78,178,453
79,175,458
80,173,467
81,171,478
82,169,493
83,166,507
84,167,499
85,168,488
86,170,479
87,172,473
88,175,468
89,176,467
90,178,469
91,180,473
92,179,480
93,175,491
94,176,506
95,183,518
96,186,532
97,185,530
98,183,511
99,188,495
100,193,484
101,195,470
102,196,461
103,197,453
104,196,452
105,197,452
106,201,456
107,206,465
108,206,470
109,207,480
110,209,491
111,208,507
112,207,522
113,204,505
114,203,484
115,201,466
116,200,449
117,198,435
118,196,425
119,195,419
120,194,417
121,192,416
122,191,417
123,190,420
124,188,427
125,186,435
126,184,447
127,182,463
128,179,479
129,176,499
130,175,501
131,181,470
132,176,440
133,173,410
134,173,394
135,169,371
136,167,351
137,163,332
138,159,315
139,164,306
140,161,297
141,157,293
142,157,292
143,155,290
144,151,291
145,147,293
146,145,297
147,150,310
148,147,320
149,144,334
150,140,350
151,138,363
152,135,346
153,133,328
154,130,310
155,129,296
156,127,286
157,127,277
158,126,272
159,124,270
160,124,269
161,122,273
162,134,269
163,133,277
164,131,288
165,130,301
166,128,317
167,127,336
168,126,359
169,127,342
170,131,320
171,133,301
172,141,268
173,145,252
174,147,241
175,151,229
176,154,222
177,156,220
178,158,219
179,157,220
180,156,221
181,157,226
182,170,232
183,176,246
184,180,265
185,184,286
186,188,306
187,190,318
188,190,296
189,190,276
190,188,260
191,188,249
192,188,238
193,187,232
194,187,229
195,186,229
196,169,242
197,167,247
198,165,256
199,164,268
200,163,283
201,162,299
202,163,320
203,162,344
204,159,330
205,152,303
206,148,279
207,141,259
208,136,242
209,130,228
210,124,217
211,118,210
212,112,204
213,103,187
214,99,188
215,92,193
216,87,201
217,81,210
218,76,225
219,70,243
220,65,263
221,59,288
222,73,304
223,68,334
224,50,322
225,51,290
226,54,261
227,56,236
228,58,214
229,61,195
230,63,181
231,66,168
232,68,159
233,71,154
234,73,152
235,93,138
236,94,141
237,83,141
238,85,149
239,88,163
240,89,178
241,91,198
242,94,218
243,117,233
244,117,260
245,118,288
246,110,312
247,110,341
248,108,324
249,106,307
250,103,293
251,101,282
252,100,273
253,96,268
254,95,266
255,92,267
256,89,269
257,88,276
258,84,285
259,82,296
260,80,311
261,76,329
262,74,347
263,76,352
264,75,347
265,75,333
266,76,319
267,75,308
268,77,298
269,77,288
270,77,285
271,76,286
272,75,290
273,79,281
274,79,290
275,78,300
276,79,312
277,80,325
278,79,344
279,79,368
280,76,396
281,82,411
282,83,445
283,82,481
284,81,519
285,81,552
286,80,515
287,84,468
288,88,425
289,84,404
290,88,369
291,90,338
292,92,307
293,91,286
294,94,267
295,97,242
296,98,225
297,93,229
