frame,x,y
0,206,409
1,208,414
2,209,426
3,211,427
4,207,415
5,202,403
6,200,394
7,195,386
8,191,381
9,187,378
10,183,377
11,179,377
12,176,380
13,171,385
14,167,392
15,164,400
16,160,411
17,157,423
18,155,423
19,152,406
20,151,391
21,149,379
22,149,369
23,148,361
24,147,355
25,145,350
26,145,349
27,145,349
28,144,349
29,142,353
30,141,359
31,142,367
32,140,376
33,140,388
34,139,401
35,138,415
36,138,432
37,137,417
38,138,401
39,138,387
40,138,375
41,138,365
42,138,357
43,138,351
44,140,346
45,140,345
46,140,345
47,140,345
48,140,349
49,140,353
50,140,361
51,142,371
52,142,381
53,142,395
54,142,410
55,143,421
56,147,404
57,151,389
58,155,375
59,160,362
60,165,352
61,169,344
62,174,337
63,178,333
64,184,331
65,188,330
66,194,332
67,198,336
68,202,342
69,208,352
70,212,363
71,218,376
72,223,391
73,225,387
74,221,370
75,218,354
76,216,340
77,213,328
78,211,318
79,209,311
80,206,306
81,204,303
82,201,303
83,199,304
84,197,307
85,194,313
86,191,321
87,188,329
88,185,341
89,184,354
90,181,370
91,179,386
92,177,404
93,176,424
94,170,417
95,164,404
96,156,392
97,150,383
98,142,375
99,135,371
100,130,367
101,122,366
102,117,365
103,109,368
104,103,371
105,97,377
106,90,384
107,85,394
108,82,390
109,86,376
110,89,364
111,93,355
112,96,346
113,100,340
114,104,336
115,107,332
116,112,332
117,116,333
118,121,336
119,126,342
120,130,350
121,135,359
122,139,371
123,145,385
124,149,402
125,148,386
126,143,359
127,139,333
128,135,310
129,131,288
130,127,270
131,123,254
132,119,240
133,115,229
134,111,219
135,108,213
136,105,209
137,101,206
138,98,206
139,95,208
140,92,211
141,90,216
142,88,224
143,86,233
144,83,243
145,82,256
146,79,270
147,77,287
148,77,285
149,73,280
150,70,278
151,67,277
152,63,278
153,60,283
154,56,290
155,53,299
156,51,311
157,45,325
158,40,344
