frame,x,y
0,204,422
1,205,425
2,206,427
3,208,435
4,210,443
5,212,453
6,210,448
7,210,440
8,211,434
9,209,430
10,206,429
11,207,427
12,206,428
13,205,431
14,204,434
15,201,442
16,200,451
17,199,461
18,202,458
19,201,449
20,201,441
21,201,438
22,199,436
23,199,432
24,199,432
25,198,434
26,199,438
27,200,444
28,198,453
29,198,462
30,198,456
31,196,445
32,195,436
33,195,431
34,194,426
35,191,425
36,189,424
37,188,425
38,187,427
39,185,432
40,183,438
41,181,446
42,180,458
43,180,450
44,180,436
45,181,426
46,181,415
47,183,409
48,183,404
49,184,399
50,185,398
51,186,396
52,186,398
53,187,402
54,187,408
55,187,416
56,187,426
57,188,433
58,189,425
59,189,417
60,189,410
61,190,406
62,190,404
63,189,404
64,189,407
65,189,411
66,189,416
67,189,424
68,188,433
69,188,444
70,187,457
71,189,456
72,192,444
73,195,435
74,198,428
75,200,423
76,202,420
77,204,419
78,206,419
79,209,421
80,211,425
81,212,431
82,216,439
83,218,449
84,220,460
85,221,450
86,221,437
87,222,427
88,221,417
89,222,411
90,222,405
91,222,402
92,222,400
93,222,401
94,221,403
95,221,407
96,220,412
97,219,420
98,218,429
99,218,440
100,217,454
101,218,445
102,219,435
103,219,425
104,221,417
105,220,413
106,221,408
107,222,407
108,223,407
109,224,408
110,225,412
111,225,417
112,225,426
113,225,435
114,225,446
115,226,432
116,226,412
117,226,392
118,227,374
119,227,358
120,227,345
121,227,335
122,227,325
123,228,318
124,228,313
125,227,309
126,227,309
127,227,308
128,226,311
129,226,315
130,225,320
131,225,327
132,222,319
133,218,312
134,216,306
135,213,301
136,210,298
137,206,298
138,203,299
139,201,303
140,198,307
141,195,314
142,190,324
143,190,322
144,190,312
145,191,301
146,194,292
147,194,285
148,195,281
149,196,279
150,197,279
151,198,279
152,199,282
153,200,287
154,201,295
155,202,304
156,203,315
157,202,320
158,200,314
159,198,307
160,194,302
161,192,299
162,190,299
163,185,300
164,183,304
165,179,310
166,176,319
167,173,328
168,169,340
169,166,354
170,162,371
171,159,389
172,155,409
173,150,431
174,150,421
175,150,410
176,149,403
177,147,397
178,146,396
179,145,395
180,144,395
181,144,397
182,143,401
183,142,407
