frame,x,y
0,177,425
1,178,424
2,179,424
3,181,426
4,180,428
5,181,434
6,180,418
7,180,405
8,181,405
9,178,396
10,178,388
11,176,384
12,164,390
13,165,388
14,161,388
15,176,391
16,166,405
17,165,410
18,164,418
19,176,429
20,176,438
21,164,460
22,161,455
23,173,442
24,173,424
25,162,417
26,159,403
27,162,403
28,161,394
29,161,390
30,160,390
31,157,389
32,156,387
33,159,393
34,158,395
35,157,399
36,152,416
37,152,423
38,149,431
39,148,440
40,149,464
41,146,453
42,146,441
43,145,433
44,143,425
45,141,418
46,140,415
47,140,412
48,138,412
49,136,413
50,135,416
51,134,420
52,132,427
53,132,435
54,131,446
55,130,457
56,129,447
57,131,432
58,132,422
59,132,409
60,133,398
61,133,386
62,132,378
63,133,381
64,133,376
65,132,372
66,132,371
67,134,372
68,134,373
69,124,385
70,124,390
71,125,399
72,131,414
73,131,425
74,131,412
75,132,388
76,133,366
77,133,344
78,134,328
79,134,317
80,133,304
81,133,292
82,139,287
83,139,280
84,138,273
85,140,268
86,139,266
87,140,267
88,143,271
89,143,274
90,143,280
91,143,287
92,142,295
93,142,304
94,143,314
95,145,327
96,147,318
97,147,309
98,149,302
99,151,295
100,155,288
101,157,285
102,159,282
103,161,281
104,164,282
105,166,285
106,167,290
107,171,296
108,172,304
109,173,313
110,174,320
111,173,306
112,171,294
113,168,284
114,165,276
115,162,267
116,159,261
117,158,257
118,154,255
119,150,254
120,149,255
121,146,259
122,144,262
123,138,268
124,136,276
125,134,285
126,130,294
127,127,307
128,125,311
129,127,289
130,128,268
131,129,248
132,130,230
133,131,215
134,131,199
135,133,189
136,136,180
137,136,172
138,137,164
139,138,159
140,138,154
141,138,152
142,140,152
143,141,152
144,142,154
145,143,154
146,144,157
147,143,161
148,143,165
149,144,171
150,143,179
151,144,188
152,143,199
153,144,211
154,144,226
155,144,241
156,143,258
157,143,276
158,142,296
159,143,317
160,144,313
161,146,302
162,148,291
163,148,283
164,150,275
165,151,270
166,152,266
167,154,262
168,156,261
169,159,260
170,159,263
171,160,266
172,161,270
173,162,276
174,163,284
175,164,292
176,165,302
177,166,315
178,166,328
179,166,319
180,165,308
181,165,298
182,163,290
183,162,283
184,159,276
185,157,273
186,157,271
187,154,271
188,152,271
189,150,274
190,149,277
191,146,283
192,145,291
193,142,300
194,141,311
195,139,315
196,143,294
197,146,274
198,149,254
199,153,235
200,158,220
201,161,205
202,165,191
203,168,182
204,173,171
205,177,164
206,180,157
207,184,153
208,188,150
209,192,149
210,195,151
211,199,152
212,203,156
213,206,163
214,210,171
215,214,181
216,216,192
217,221,207
218,224,221
219,228,233
220,231,223
221,236,215
222,240,205
223,245,199
224,248,194
225,255,190
226,259,188
227,264,189
228,270,191
229,274,194
230,278,202
231,282,211
232,288,223
233,289,239
234,301,252
235,305,269
236,309,291
237,314,315
238,317,341
239,322,371
240,325,404
241,335,436
242,325,433
243,313,425
244,299,418
