frame,x,y
0,211,402
1,215,405
2,215,400
3,212,402
4,213,399
5,210,408
6,211,409
7,212,412
8,213,416
9,217,436
10,212,448
11,211,442
12,211,429
13,211,415
14,207,403
15,207,395
16,205,384
17,208,393
18,207,389
19,205,387
20,202,388
21,204,392
22,202,399
23,206,404
24,205,413
25,205,422
26,201,440
27,198,456
28,198,472
29,200,461
30,199,447
31,201,433
32,203,422
33,207,411
34,208,402
35,209,401
36,211,394
37,212,389
38,213,386
39,218,393
40,222,392
41,230,390
42,234,391
43,238,391
44,245,394
45,251,400
46,259,408
47,267,420
48,275,433
49,284,450
50,273,437
51,279,408
52,271,374
53,265,345
54,256,316
55,251,293
56,244,271
57,238,263
58,231,242
59,224,224
60,223,212
61,215,197
62,208,186
63,199,177
64,198,179
65,189,174
66,183,173
67,178,171
68,170,175
69,162,177
70,157,198
71,148,206
72,139,217
73,131,232
74,125,252
75,117,271
76,115,295
77,107,318
78,99,344
79,91,374
80,85,411
81,85,386
82,88,353
83,93,322
84,94,294
85,98,268
86,101,244
87,107,223
88,112,207
89,117,190
90,122,177
91,126,164
92,131,157
93,134,150
94,138,147
95,142,147
96,145,148
97,149,151
98,152,156
99,157,165
100,161,176
101,165,189
102,167,204
103,173,220
104,178,241
105,182,262
106,186,288
107,189,314
108,193,343
109,196,353
110,199,337
111,202,322
112,206,309
113,209,298
114,213,291
115,218,284
116,222,281
117,226,280
118,230,281
119,234,285
120,238,291
121,241,301
122,243,312
123,247,324
124,247,313
125,244,301
126,242,290
127,239,281
128,237,276
129,234,273
130,233,273
131,230,275
132,230,281
133,228,289
134,227,294
135,225,303
136,221,318
137,219,335
138,218,356
139,216,379
140,214,406
141,210,431
142,206,458
143,203,490
144,204,510
145,211,494
146,217,479
147,226,467
148,233,458
149,234,458
150,246,450
151,253,451
152,259,453
153,267,454
154,273,461
155,279,469
156,287,477
157,292,491
158,295,494
159,285,477
160,277,464
161,268,451
162,260,441
163,254,434
164,249,428
165,240,425
166,232,424
167,226,426
168,217,430
169,208,436
170,200,444
171,191,454
172,183,468
173,184,438
174,192,402
175,197,363
176,205,327
177,209,295
178,213,266
179,217,238
180,223,210
181,229,189
182,236,171
183,241,152
184,246,135
185,251,122
186,258,114
187,262,108
188,267,102
189,273,98
190,278,99
191,284,98
192,288,100
193,292,105
194,296,118
195,301,130
196,305,140
197,309,154
198,313,172
199,317,192
200,322,213
201,325,236
202,329,229
203,333,217
204,337,206
205,341,197
