frame,x,y
0,175,442
1,175,443
2,173,445
3,171,449
4,171,453
5,168,463
6,169,475
7,168,478
8,168,464
9,170,450
10,171,441
11,171,429
12,171,423
13,172,419
14,172,414
15,173,413
16,173,414
17,174,418
18,175,422
19,175,430
20,173,438
21,175,449
22,175,461
23,175,476
24,175,463
25,175,446
26,177,433
27,176,420
28,175,411
29,174,402
30,175,396
31,174,391
32,174,389
33,174,388
34,175,390
35,174,394
36,174,398
37,173,407
38,172,417
39,172,429
40,170,443
41,171,460
42,171,472
43,171,455
44,171,441
45,172,428
46,171,419
47,170,410
48,169,405
49,169,400
50,168,399
51,168,398
52,168,402
53,168,406
54,167,413
55,166,422
56,166,433
57,165,447
58,163,461
59,163,478
60,164,464
61,168,448
62,172,434
63,175,422
64,178,413
65,181,405
66,184,399
67,187,396
68,190,395
69,193,396
70,196,399
71,199,404
72,201,412
73,204,422
74,208,434
75,210,450
76,213,467
77,216,467
78,218,455
79,218,446
80,218,437
81,220,432
82,220,429
83,221,427
84,221,429
85,222,431
86,223,437
87,223,445
88,223,453
89,224,463
90,224,476
91,224,492
92,224,492
93,222,484
94,219,475
95,217,468
96,214,463
97,211,460
98,209,461
99,206,461
100,201,467
101,197,473
102,194,481
103,186,470
104,177,460
105,168,450
106,159,445
107,150,440
108,141,440
109,132,440
110,123,443
111,113,448
112,104,455
113,97,463
114,96,445
115,97,431
116,98,418
117,99,407
118,100,399
119,100,394
120,102,390
121,102,390
122,102,389
123,103,392
124,104,396
125,104,402
126,104,411
127,105,422
128,105,431
129,105,445
130,106,440
131,107,424
132,108,408
133,110,394
134,111,382
135,113,374
136,115,365
137,116,360
138,117,357
139,118,354
140,118,355
141,119,357
142,121,359
143,122,363
144,123,370
145,124,378
146,125,389
147,126,402
148,127,415
149,127,430
150,128,447
151,129,443
152,132,430
153,134,421
154,135,412
155,137,405
156,139,400
157,140,396
158,143,395
159,145,395
160,147,397
161,149,401
162,151,406
163,153,414
164,154,425
165,156,437
166,159,444
167,163,425
168,167,407
169,171,391
170,175,376
171,180,364
172,183,353
173,187,345
174,192,340
175,196,335
176,200,333
177,204,332
178,208,334
179,212,338
180,215,343
181,219,351
182,223,362
183,226,373
184,230,387
185,233,403
186,237,421
187,241,441
188,243,463
189,247,458
190,250,443
191,254,430
192,256,420
193,260,411
194,263,404
195,265,399
196,269,397
197,271,396
198,274,397
199,277,401
200,280,406
201,282,414
202,284,423
203,288,435
204,288,439
205,285,429
206,283,422
207,279,416
208,276,412
209,273,410
210,269,410
211,266,411
212,262,416
213,259,421
214,256,430
215,253,439
216,250,452
217,246,465
218,244,457
219,241,443
220,238,429
221,234,417
222,231,408
223,227,399
224,224,394
225,220,389
226,217,387
227,213,387
228,209,390
229,205,394
230,201,400
231,196,410
232,193,420
233,188,434
234,184,450
235,181,458
236,184,448
237,186,439
238,189,430
239,192,425
240,195,421
241,198,421
242,199,421
243,202,424
244,205,429
245,207,437
246,209,446
247,212,458
248,215,470
249,216,463
250,217,451
251,218,440
252,220,432
253,220,424
254,222,419
255,223,417
256,224,417
257,224,418
258,227,423
259,228,429
260,229,437
261,229,449
262,231,462
263,230,457
264,226,449
265,222,442
266,217,438
267,214,435
268,210,435
269,206,438
270,202,443
271,198,451
272,195,460
273,191,471
274,186,485
275,186,483
276,190,466
277,194,444
278,197,422
279,198,402
280,199,388
281,199,376
