frame,x,y
0,148,410
1,148,414
2,147,421
3,147,432
4,141,423
5,136,401
6,128,377
7,119,356
8,114,337
9,112,323
10,108,308
11,100,293
12,90,281
13,83,272
14,74,264
15,65,261
16,57,258
17,48,259
18,41,264
19,33,272
20,31,285
21,22,297
22,15,312
23,15,311
24,20,291
25,21,278
26,31,270
27,41,264
28,49,259
29,57,256
30,64,258
31,73,262
32,77,265
33,86,274
34,93,282
35,98,296
36,103,309
37,101,296
38,97,280
39,93,265
40,89,252
41,84,242
42,80,233
43,74,228
44,70,224
45,66,222
46,63,223
47,59,228
48,55,232
49,51,240
50,47,250
51,43,262
52,44,253
53,44,237
54,46,224
55,48,214
56,49,205
57,52,199
58,53,196
59,54,195
60,56,197
61,59,201
62,62,206
63,64,215
64,67,225
65,71,238
66,73,253
67,75,271
68,75,266
69,74,254
70,72,242
71,72,232
72,70,226
73,69,221
74,69,219
75,69,219
76,67,221
77,66,226
78,65,234
79,65,243
80,64,254
81,65,268
82,64,277
83,68,261
84,71,243
85,74,229
86,77,217
87,82,207
88,87,199
89,90,193
90,95,190
91,99,190
92,103,190
93,107,194
94,111,200
95,116,210
96,121,222
97,125,236
98,131,251
99,136,271
100,139,291
101,143,314
102,148,340
103,152,369
104,156,398
105,161,431
106,165,428
107,170,403
108,176,379
109,181,359
110,186,342
111,192,326
112,197,312
113,201,303
114,206,294
115,211,289
116,216,285
117,220,284
118,225,285
119,228,289
120,233,296
121,237,304
122,241,314
123,245,328
124,251,342
125,254,357
126,258,377
127,262,398
128,266,421
129,269,414
130,269,400
131,270,390
132,271,381
133,273,376
134,273,372
135,274,370
136,275,370
137,276,374
138,276,379
139,276,386
140,277,396
141,278,408
142,278,423
143,277,411
144,273,395
145,269,381
146,264,369
147,258,359
148,253,352
149,249,346
150,244,344
151,239,345
152,234,348
153,228,353
154,223,361
155,219,372
156,213,386
157,207,401
158,202,418
159,204,399
160,206,379
161,209,359
162,212,343
163,216,328
164,219,317
165,221,310
166,222,304
167,226,301
168,229,301
169,231,303
170,234,308
171,235,317
172,238,326
173,239,337
174,243,351
175,244,368
176,247,387
177,248,408
178,250,422
179,249,409
180,246,398
181,245,388
182,243,381
183,240,376
184,238,375
185,236,374
186,235,377
187,233,381
188,229,388
189,228,398
190,227,411
