frame,x,y
0,198,473
1,199,474
2,199,475
3,200,481
4,202,485
5,203,496
6,205,502
7,205,487
8,204,473
9,204,460
10,203,448
11,203,440
12,202,432
13,201,429
14,200,425
15,201,423
16,198,422
17,198,426
18,196,430
19,196,436
20,195,445
21,194,457
22,194,467
23,191,480
24,193,487
25,190,469
26,188,452
27,188,437
28,186,425
29,186,415
30,185,408
31,183,401
32,182,396
33,181,393
34,180,393
35,179,393
36,178,395
37,174,400
38,173,407
39,172,416
40,170,426
41,168,440
42,167,455
43,167,471
44,163,489
45,164,481
46,166,464
47,166,447
48,167,434
49,167,422
50,168,411
51,168,403
52,169,395
53,170,390
54,171,389
55,172,388
56,172,390
57,173,392
58,173,397
59,174,404
60,174,413
61,174,424
62,175,437
63,176,452
64,176,469
65,178,487
66,177,482
67,177,465
68,175,447
69,175,432
70,174,420
71,174,411
72,173,404
73,172,397
74,172,393
75,171,392
76,169,391
77,169,393
78,169,397
79,167,401
80,166,409
81,165,417
82,164,427
83,164,439
84,162,452
85,161,467
86,161,483
87,161,486
88,164,474
89,168,462
90,172,452
91,176,444
92,180,436
93,183,432
94,188,428
95,193,426
96,196,426
97,201,428
98,204,432
99,209,438
100,214,447
101,219,458
102,220,452
103,217,425
104,213,400
105,209,377
106,205,356
107,201,340
108,197,323
109,193,309
110,188,298
111,186,288
112,181,280
113,177,274
114,173,271
115,169,270
116,165,269
117,162,270
118,158,275
119,154,281
120,150,289
121,148,299
122,143,310
123,140,323
124,137,338
125,137,333
126,138,324
127,139,316
128,140,312
129,143,308
130,143,307
131,145,308
132,146,309
133,148,313
134,151,320
135,150,328
136,153,339
137,152,351
138,154,360
139,146,348
140,139,336
141,132,326
142,123,317
143,116,310
144,107,306
145,99,304
146,92,304
147,83,305
148,76,308
149,68,314
150,61,322
151,54,330
152,46,342
153,38,355
154,31,370
155,24,386
156,17,405
157,11,418
158,18,397
159,26,378
160,34,362
161,42,346
162,52,333
163,59,322
164,68,312
165,76,304
166,85,299
167,94,295
168,102,294
169,111,294
170,117,296
171,129,301
172,136,308
173,146,316
174,154,328
175,163,341
176,172,355
177,180,373
178,189,394
179,197,417
180,205,440
181,209,452
182,197,434
183,185,418
184,174,405
185,163,393
186,150,385
187,137,378
188,126,373
189,114,370
190,103,371
191,92,374
192,80,377
193,69,383
194,57,392
195,46,402
196,34,414
197,36,393
198,41,365
199,47,340
200,53,315
201,58,294
202,65,274
203,69,257
204,76,242
205,81,229
206,87,218
207,92,209
208,99,203
209,103,198
210,109,196
211,116,196
212,121,199
213,126,203
214,132,210
215,138,218
216,143,230
217,148,243
218,155,259
219,160,275
220,166,295
221,172,317
222,178,342
223,182,369
224,187,397
225,193,428
226,198,461
227,203,495
228,200,503
229,188,490
230,177,478
231,165,469
232,153,462
233,141,457
234,129,454
235,120,454
236,108,456
237,98,460
238,87,466
239,77,474
240,66,484
241,62,473
242,66,450
243,69,429
244,72,408
245,76,392
246,79,376
247,83,363
248,86,351
249,90,342
250,93,334
251,97,330
252,100,327
253,104,326
254,107,326
255,111,329
256,115,334
257,118,342
258,122,353
259,125,364
260,129,377
261,133,393
262,135,411
263,140,431
264,143,455
265,145,480
266,150,503
267,150,484
268,152,465
269,152,448
270,154,433
271,153,422
272,155,411
273,155,403
274,156,398
275,157,395
276,157,394
277,158,394
278,159,397
279,159,402
280,161,409
281,162,416
282,162,425
283,162,437
284,162,450
285,162,465
