frame,x,y
0,151,435
1,148,432
2,148,421
3,147,413
4,152,412
5,153,408
6,152,406
7,150,406
8,147,411
9,148,416
10,147,423
11,146,430
12,146,440
13,147,447
14,149,435
15,148,427
16,146,418
17,147,412
18,149,408
19,153,406
20,156,406
21,158,405
22,159,412
23,161,418
24,163,426
25,164,434
26,166,443
27,168,454
28,169,467
29,165,466
30,166,450
31,167,439
32,166,431
33,165,421
34,165,411
35,163,404
36,167,403
37,168,402
38,168,401
39,170,400
40,170,404
41,170,410
42,170,418
43,171,426
44,171,435
45,171,446
46,168,463
47,167,470
48,166,452
49,166,436
50,162,423
51,161,409
52,157,398
53,156,389
54,155,381
55,153,375
56,150,372
57,148,367
58,144,366
59,141,367
60,140,372
61,140,379
62,136,386
63,133,395
64,130,405
65,125,417
66,119,419
67,119,401
68,120,381
69,120,362
70,121,345
71,122,331
72,121,319
73,122,308
74,122,299
75,122,293
76,122,290
77,122,288
78,122,287
79,121,289
80,121,292
81,120,297
82,120,304
83,120,313
84,119,324
85,119,336
86,117,352
87,115,353
88,115,339
89,113,327
90,111,316
91,109,307
92,107,300
93,105,296
94,104,291
95,102,287
96,97,284
97,93,285
98,90,289
99,86,297
100,83,307
101,81,318
102,75,332
103,70,348
104,65,368
105,60,392
106,55,416
107,52,400
108,50,354
109,73,363
110,93,356
111,91,355
112,91,360
113,90,362
114,88,369
115,87,377
