file,tp,fp,fn,accuracy,traj_error,frames,fps
marcello,24,0,0,83.33,9.38,404,48.75
video9,9,1,2,88.89,14.35,192,49.14
video11,10,1,3,70.0,9.42,168,47.06
video4,2,1,11,100.0,124.71,222,47.5
video3,9,0,0,66.67,8.45,145,48.26
video6,14,0,1,78.57,12.47,247,49.03
video5,18,0,0,66.67,8.91,268,48.77
video1,13,2,4,61.54,48.18,281,48.94
video8,13,0,0,61.54,6.28,169,48.29
video2,11,1,0,81.82,12.92,176,47.82
video7,14,0,0,78.57,12.3,261,50.11
video10,6,1,0,66.67,10.78,94,48.68
