frame,x,y
0,202,475
1,202,475
2,202,478
3,204,481
4,202,488
5,206,497
6,205,505
7,205,486
8,205,473
9,204,461
10,204,450
11,203,440
12,203,434
13,202,430
14,200,425
15,201,424
16,200,424
17,200,428
18,197,432
19,197,437
20,196,446
21,195,458
22,194,469
23,193,485
24,194,488
25,191,468
26,190,452
27,189,438
28,187,426
29,186,416
30,185,408
31,184,401
32,183,396
33,181,394
34,180,392
35,178,394
36,177,397
37,176,402
38,174,409
39,173,417
40,171,429
41,170,441
42,168,456
43,167,473
44,165,492
45,165,484
46,165,465
47,167,448
48,168,435
49,168,424
50,168,413
51,169,406
52,169,397
53,170,393
54,172,390
55,173,389
56,174,391
57,174,394
58,174,398
59,174,406
60,176,415
61,176,426
62,177,439
63,177,453
64,179,470
65,179,489
66,178,482
67,176,463
68,176,447
69,175,433
70,174,421
71,174,413
72,174,405
73,172,397
74,172,393
75,171,391
76,170,392
77,169,394
78,168,397
79,166,402
80,165,408
81,164,418
82,164,428
83,163,440
84,162,453
85,160,466
86,160,486
87,161,485
88,165,474
89,167,462
90,172,451
91,175,443
92,182,438
93,184,432
94,186,428
95,191,428
96,197,427
97,202,429
98,206,434
99,211,440
100,216,449
101,219,459
102,220,453
103,216,424
104,212,402
105,209,378
106,205,357
107,200,339
108,195,323
109,192,309
110,188,299
111,185,289
112,180,281
113,177,275
114,173,273
115,169,270
116,166,270
117,163,273
118,157,277
119,154,283
120,150,291
121,147,301
122,143,312
123,140,323
124,137,340
125,137,334
126,139,324
127,141,318
128,143,313
129,142,309
130,144,308
131,146,309
132,147,310
133,148,315
134,149,323
135,150,330
136,151,339
137,155,353
138,155,363
139,148,349
140,140,337
141,132,327
142,123,319
143,115,311
144,109,308
145,100,305
146,91,305
147,83,307
148,76,311
149,68,316
150,61,322
151,53,331
152,45,343
153,37,356
154,31,371
155,17,369
156,17,382
157,17,394
158,17,377
159,17,359
160,18,342
161,25,327
162,35,315
163,61,323
164,70,313
165,77,305
166,85,300
167,94,297
168,104,295
169,112,296
170,121,298
171,131,304
172,137,311
173,146,318
174,155,329
175,163,343
176,173,358
177,181,376
178,190,395
179,198,418
180,208,442
181,210,454
182,197,434
183,185,418
184,173,405
185,162,393
186,150,385
187,138,379
188,126,374
189,114,372
190,102,372
191,91,374
192,80,378
193,68,385
194,57,394
195,44,404
196,35,416
197,35,393
198,42,366
199,48,339
200,54,317
201,60,295
202,66,275
203,70,257
204,76,242
205,81,229
206,87,219
207,93,210
208,99,204
209,105,199
210,111,197
211,117,197
212,122,200
213,128,204
214,133,212
215,139,220
216,143,232
217,149,245
218,155,261
219,161,279
220,165,298
221,172,319
222,176,344
223,181,370
224,186,399
225,191,430
226,197,462
227,202,494
228,200,504
229,187,491
230,174,478
231,164,468
232,152,462
233,140,457
234,129,456
235,120,456
236,108,457
237,96,461
238,85,466
239,76,475
240,65,484
241,62,473
242,68,450
243,68,429
244,73,409
245,77,392
246,78,377
247,81,364
248,87,352
249,90,343
250,94,335
251,97,331
252,101,328
253,103,327
254,107,327
255,112,330
256,114,336
257,119,344
258,124,353
259,124,365
260,129,379
261,133,393
262,136,412
263,140,433
264,144,457
265,146,482
266,149,505
267,150,485
268,150,465
269,153,448
270,154,434
271,155,422
272,155,412
273,156,405
274,156,399
275,156,395
276,157,395
277,157,396
278,158,399
279,159,403
280,161,409
281,161,418
282,162,427
283,162,439
284,162,451
285,163,466
