frame,x,y
0,203,421
1,203,424
2,206,427
3,206,434
4,209,442
5,210,450
6,211,448
7,210,440
8,209,433
9,208,429
10,208,426
11,206,424
12,206,425
13,204,427
14,202,432
15,202,437
16,199,447
17,199,457
18,199,454
19,198,446
20,197,440
21,198,435
22,197,429
23,196,428
24,196,429
25,196,432
26,196,436
27,195,442
28,194,450
29,195,460
30,195,451
31,194,441
32,191,434
33,190,428
34,189,423
35,189,421
36,187,419
37,185,421
38,185,424
39,183,429
40,181,437
41,180,445
42,177,455
43,177,449
44,178,435
45,179,423
46,180,412
47,181,405
48,181,399
49,181,395
50,182,393
51,182,393
52,182,395
53,181,398
54,182,404
55,182,412
56,183,423
57,183,432
58,184,426
59,183,416
60,184,411
61,183,405
62,187,403
63,187,401
64,189,403
65,188,408
66,189,413
67,188,425
68,187,432
69,187,443
70,186,455
71,186,452
72,190,442
73,192,432
74,197,424
75,197,420
76,200,417
77,202,416
78,205,415
79,208,417
80,210,423
81,212,429
82,215,437
83,216,447
84,218,459
85,219,449
86,219,436
87,220,424
88,219,415
89,220,409
90,219,402
91,218,398
92,218,397
93,217,395
94,217,398
95,218,402
96,218,408
97,217,417
98,217,427
99,215,440
100,214,452
101,216,442
102,217,431
103,218,422
104,220,414
105,220,407
106,219,403
107,223,401
108,224,400
109,224,403
110,225,407
111,225,414
112,223,421
113,224,432
114,225,443
115,225,429
116,224,406
117,224,388
118,222,370
119,223,354
120,225,341
121,225,330
122,225,322
123,225,314
124,226,309
125,224,305
126,224,303
127,222,302
128,222,307
129,224,311
130,223,318
131,222,323
132,218,315
133,216,307
134,213,303
135,210,299
136,207,296
137,203,295
138,201,297
139,199,299
140,198,305
141,192,310
142,189,320
143,188,320
144,190,308
145,192,298
146,194,289
147,193,280
148,195,277
149,195,273
150,196,274
151,198,274
152,199,277
153,199,282
154,198,291
155,198,301
156,199,312
157,198,315
158,196,309
159,195,303
160,192,300
161,189,294
162,186,295
163,182,297
164,179,302
165,177,308
166,174,317
167,169,327
168,166,337
169,162,352
170,159,369
171,155,388
172,151,409
173,147,429
174,146,418
175,145,409
176,144,402
177,144,396
178,143,394
179,142,391
180,141,390
181,142,394
182,141,397
183,140,405
