frame,x,y
0,173,442
1,171,443
2,172,445
3,170,448
4,170,455
5,169,464
6,166,474
7,166,479
8,166,463
9,167,450
10,167,438
11,168,431
12,168,422
13,168,418
14,170,414
15,170,413
16,170,415
17,170,418
18,172,424
19,172,429
20,172,437
21,173,448
22,172,461
23,172,475
24,172,461
25,173,444
26,172,432
27,172,421
28,171,409
29,172,401
30,170,396
31,170,392
32,172,389
33,171,390
34,170,391
35,170,394
36,170,398
37,169,407
38,170,417
39,169,429
40,169,444
41,168,461
42,167,471
43,166,454
44,166,441
45,165,428
46,166,419
47,166,410
48,166,404
49,165,399
50,165,398
51,165,399
52,164,402
53,164,407
54,162,414
55,163,423
56,160,435
57,159,447
58,159,461
59,159,478
60,161,466
61,165,450
62,168,435
63,172,422
64,174,412
65,178,404
66,180,400
67,185,395
68,187,394
69,189,394
70,192,399
71,195,405
72,197,412
73,200,422
74,203,435
75,206,449
76,208,465
77,211,468
78,214,456
79,216,447
80,216,438
81,217,432
82,217,427
83,218,427
84,218,428
85,218,432
86,218,439
87,220,445
88,221,454
89,222,464
90,221,476
91,221,492
92,221,493
93,219,483
94,217,474
95,212,468
96,209,463
97,207,459
98,204,461
99,200,463
100,197,468
101,195,473
102,191,480
103,182,469
104,174,459
105,164,449
106,155,443
107,147,439
108,137,439
109,126,440
110,118,442
111,109,446
112,100,454
113,92,462
114,92,444
115,93,429
116,94,417
117,95,407
118,96,400
119,97,393
120,98,390
121,98,390
122,98,389
123,98,392
124,99,396
125,101,402
126,102,411
127,103,421
128,103,433
129,103,446
130,102,440
131,104,422
132,106,407
133,108,394
134,110,383
135,111,373
136,113,365
137,114,359
138,113,356
139,113,354
140,115,354
141,115,356
142,117,359
143,119,364
144,119,371
145,121,379
146,121,390
147,122,401
148,123,414
149,124,430
150,125,446
151,126,442
152,129,430
153,131,420
154,131,412
155,132,406
156,134,399
157,136,396
158,137,394
159,139,396
160,142,395
161,142,401
162,144,406
163,146,415
164,149,425
165,152,438
166,154,445
167,158,425
168,163,406
169,167,390
170,171,375
171,175,364
172,179,354
173,183,346
174,188,339
175,191,334
176,194,331
177,196,332
178,202,335
179,206,338
180,209,343
181,213,352
182,218,362
183,222,374
184,225,388
185,229,404
186,233,422
187,236,442
188,240,465
189,244,458
190,247,444
191,250,431
192,252,419
193,254,411
194,256,405
195,259,399
196,263,398
197,267,396
198,270,398
199,273,403
200,275,407
201,276,415
202,278,424
203,282,435
204,283,438
205,281,429
206,277,421
207,275,415
208,272,410
209,268,410
210,265,410
211,261,413
212,257,415
213,255,422
214,252,429
215,247,438
216,244,450
217,240,464
218,238,456
219,236,442
220,232,428
221,231,416
222,227,406
223,220,398
224,217,393
225,216,389
226,212,386
227,208,386
228,204,389
229,200,395
230,195,400
231,191,410
232,186,421
233,183,434
234,180,449
235,178,456
236,181,447
237,183,437
238,184,430
239,186,424
240,190,421
241,193,420
242,196,420
243,198,425
244,202,431
245,205,437
246,205,447
247,208,457
248,210,470
249,210,463
250,213,451
251,215,439
252,218,431
253,218,425
254,219,420
255,220,418
256,221,417
257,220,419
258,222,423
259,225,430
260,226,438
261,226,450
262,226,463
263,224,456
264,220,448
265,218,441
266,214,437
267,210,434
268,207,435
269,203,439
270,197,445
271,194,450
272,189,460
273,186,472
274,182,487
275,182,483
276,186,466
277,188,442
278,191,420
279,194,402
280,194,386
281,195,375
