frame,x,y
0,146,408
1,145,412
2,143,419
3,143,430
4,141,424
5,133,398
6,125,375
7,119,354
8,116,334
9,110,323
10,103,307
11,96,294
12,89,282
13,81,274
14,72,266
15,68,262
16,63,261
17,55,262
18,47,268
19,39,273
20,22,258
21,22,266
22,22,278
23,22,280
24,22,277
25,22,261
26,22,246
27,22,238
28,25,235
29,32,235
30,39,234
31,47,238
32,76,264
33,87,268
34,95,279
35,102,294
36,105,309
37,105,301
38,100,282
39,96,268
40,92,255
41,88,244
42,82,237
43,77,228
44,71,225
45,68,224
46,62,225
47,59,230
48,53,236
49,49,241
50,46,252
51,40,258
52,22,228
53,22,214
54,22,203
55,25,192
56,27,185
57,26,178
58,28,175
59,31,174
60,35,176
61,37,178
62,39,184
63,42,190
64,43,197
65,46,209
66,68,246
67,78,267
68,77,264
69,74,250
70,74,238
71,72,228
72,72,221
73,71,217
74,68,214
75,69,213
76,67,216
77,65,220
78,68,227
79,67,238
80,65,247
81,63,264
82,61,272
83,61,260
84,69,239
85,72,226
86,75,212
87,80,202
88,85,196
89,87,189
90,90,188
91,96,184
92,103,186
93,104,190
94,113,196
95,116,206
96,119,221
97,123,234
98,129,250
99,133,268
100,138,291
101,145,317
102,149,340
103,154,363
104,155,392
105,161,425
106,165,425
107,170,398
108,176,376
109,181,353
110,187,338
111,189,325
112,193,309
113,197,299
114,201,293
115,206,288
116,212,282
117,216,281
118,220,283
119,226,284
120,231,292
121,235,299
122,239,310
123,243,323
124,249,339
125,251,358
126,255,376
127,260,397
128,266,419
129,268,412
130,268,400
131,268,390
132,269,382
133,270,373
134,273,372
135,271,367
136,270,369
137,272,371
138,270,374
139,273,381
140,271,392
141,271,405
142,273,418
143,272,406
144,271,390
145,266,376
146,262,360
147,258,352
148,252,347
149,247,342
150,242,340
151,235,341
152,230,345
153,224,351
154,220,360
155,216,372
156,212,387
157,207,403
158,201,420
159,206,398
160,205,377
161,210,356
162,212,342
163,214,327
164,215,316
165,217,306
166,220,301
167,221,297
168,225,297
169,228,299
170,230,304
171,233,311
172,235,323
173,239,335
174,240,347
175,242,365
176,243,382
177,247,403
178,248,414
179,247,402
180,245,393
181,243,382
182,241,374
183,236,371
184,234,368
185,232,369
186,230,374
187,227,376
188,225,386
189,225,392
190,223,406
