frame,x,y
0,206,411
1,207,418
2,212,427
3,211,429
4,207,417
5,203,405
6,197,396
7,194,388
8,189,382
9,186,380
10,181,379
11,176,380
12,174,381
13,171,387
14,166,393
15,162,402
16,158,412
17,155,424
18,152,424
19,151,408
20,149,393
21,151,382
22,149,371
23,145,363
24,146,358
25,145,352
26,143,352
27,142,349
28,143,352
29,141,357
30,140,362
31,140,368
32,139,377
33,137,388
34,137,403
35,137,419
36,136,434
37,135,417
38,135,402
39,135,389
40,135,376
41,135,366
42,136,359
43,135,351
44,135,347
45,136,345
46,135,345
47,137,345
48,138,348
49,138,354
50,138,361
51,138,370
52,139,381
53,140,395
54,141,411
55,141,421
56,145,404
57,149,388
58,153,374
59,157,361
60,162,352
61,167,345
62,172,339
63,175,334
64,180,332
65,184,332
66,189,334
67,195,338
68,199,345
69,205,355
70,210,365
71,215,378
72,221,392
73,220,388
74,217,371
75,216,354
76,212,339
77,210,328
78,209,320
79,206,312
80,204,306
81,201,304
82,199,304
83,197,306
84,194,308
85,189,313
86,187,323
87,185,332
88,183,343
89,182,354
90,180,373
91,177,390
92,175,407
93,174,427
94,169,419
95,160,405
96,153,394
97,147,386
98,140,377
99,135,371
100,127,367
101,121,367
102,116,367
103,109,370
104,103,373
105,96,378
106,89,387
107,83,395
108,81,390
109,85,377
110,89,367
111,93,357
112,96,349
113,100,343
114,104,338
115,107,336
116,111,334
117,115,335
118,121,338
119,124,343
120,128,350
121,134,360
122,137,371
123,142,386
124,147,402
125,146,387
126,139,358
127,135,334
128,131,310
129,128,289
130,126,271
131,119,254
132,114,241
133,112,229
134,108,221
135,105,214
136,102,209
137,98,207
138,95,207
139,91,209
140,90,212
141,88,218
142,84,225
143,81,235
144,81,245
145,78,258
146,75,271
147,76,286
148,73,284
149,71,281
150,67,278
151,64,278
152,61,280
153,55,284
154,52,291
155,49,301
156,45,312
157,40,328
158,21,324
