frame,x,y
0,155,435
1,147,424
2,147,421
3,150,410
4,150,400
5,144,406
6,145,401
7,147,397
8,146,409
9,148,411
10,149,413
11,148,420
12,150,435
13,150,445
14,142,432
15,144,421
16,149,412
17,150,411
18,152,407
19,155,404
20,158,401
21,160,402
22,162,404
23,163,407
24,164,414
25,165,430
26,157,442
27,159,453
28,160,467
29,164,461
30,164,451
31,163,437
32,164,422
33,164,409
34,167,411
35,168,404
36,167,396
37,168,390
38,169,396
39,169,400
40,168,401
41,167,403
42,169,406
43,168,424
44,167,434
45,165,445
46,165,455
47,164,470
48,162,451
49,160,432
50,168,415
51,164,407
52,164,394
53,160,384
54,160,370
55,152,373
56,149,369
57,151,367
58,135,364
59,138,363
60,141,364
61,136,372
62,129,387
63,126,394
64,121,403
65,132,414
66,121,412
67,121,390
68,122,380
69,122,362
70,124,345
71,125,329
72,126,316
73,126,305
74,126,296
75,126,288
76,128,283
77,117,282
78,128,282
79,116,284
80,117,288
81,116,297
82,116,304
83,114,313
84,116,322
85,114,335
86,113,349
87,112,351
88,110,338
89,109,326
90,107,316
91,105,304
92,103,287
93,99,282
94,96,279
95,94,279
96,92,282
97,88,286
98,87,291
99,83,292
100,81,301
101,80,311
102,77,328
103,72,348
104,67,368
105,63,395
106,49,423
107,47,400
108,39,357
114,30,332
115,30,333
