frame,x,y
0,209,410
1,212,400
2,211,405
3,210,394
4,211,400
5,211,405
6,211,405
7,212,420
8,219,424
9,213,444
10,212,452
11,211,441
12,211,432
13,208,421
14,208,410
15,216,400
16,213,393
17,211,388
18,210,385
19,208,384
20,207,391
21,206,395
22,204,406
23,202,412
24,200,420
25,197,429
26,198,439
27,209,452
28,196,477
29,197,464
30,206,446
31,208,427
32,208,422
33,208,414
34,208,401
35,211,399
36,212,390
37,215,394
38,220,392
39,222,390
40,226,390
41,223,389
42,228,397
43,234,393
44,242,400
45,248,408
46,254,417
47,263,428
48,269,440
49,277,455
50,276,435
51,271,402
52,268,385
53,259,352
54,251,325
55,243,298
56,249,282
57,237,257
58,232,243
59,221,233
60,214,219
61,208,205
62,201,194
63,198,184
64,193,179
65,188,184
66,180,180
67,172,179
68,161,188
69,155,190
70,149,206
71,148,216
72,134,226
73,128,239
74,129,259
75,121,284
76,112,302
77,103,324
78,92,357
79,84,384
80,76,422
81,90,391
82,94,359
83,98,325
84,101,298
85,99,274
86,107,250
87,110,232
88,114,214
89,116,198
90,119,185
91,122,174
92,125,166
93,128,160
94,131,155
95,135,154
96,150,154
97,152,157
98,154,162
99,158,170
100,159,179
101,168,192
102,171,209
103,174,227
104,178,249
105,181,271
106,182,297
107,185,323
108,186,352
109,188,362
110,192,344
111,195,328
112,200,316
113,204,304
114,208,296
115,212,292
116,216,288
117,219,287
118,223,288
119,227,291
120,233,297
121,237,306
122,241,318
123,246,330
124,245,320
125,244,309
126,243,300
127,241,285
128,240,280
129,238,279
130,236,280
131,223,283
132,220,288
133,218,290
134,216,300
135,216,316
136,213,329
137,211,342
138,210,363
139,208,388
140,207,414
141,205,446
142,203,465
143,195,497
144,197,518
145,202,509
146,213,498
147,220,477
148,227,474
149,237,466
150,244,456
151,251,451
152,259,452
153,264,457
154,270,463
155,276,471
156,280,483
157,285,493
158,288,498
159,290,481
160,282,468
161,272,456
162,261,450
163,255,443
164,247,437
165,238,433
166,229,431
167,220,431
168,211,436
169,202,442
170,192,450
171,188,460
172,176,472
173,183,441
174,190,413
175,194,372
176,199,333
177,203,306
178,208,275
179,213,245
180,222,216
181,227,191
182,231,181
183,234,161
184,239,142
185,244,132
186,249,120
187,253,116
188,270,109
189,274,103
190,277,108
191,280,106
192,284,106
193,289,119
194,293,130
195,297,138
196,299,147
197,302,160
198,306,187
199,317,204
200,321,222
201,323,241
202,326,234
203,329,222
204,333,212
205,336,203
