frame,x,y
0,178,423
1,167,425
2,169,425
3,181,428
4,183,432
5,183,432
6,181,415
7,181,400
8,180,402
9,179,392
10,178,383
11,174,377
12,176,387
13,178,384
14,177,383
15,174,383
16,169,401
17,166,407
18,178,413
19,168,423
20,166,444
21,164,457
22,170,454
23,164,446
24,164,429
25,162,412
26,161,405
27,162,401
28,161,390
29,157,381
30,156,388
31,154,386
32,153,383
33,152,392
34,147,395
35,145,400
36,144,405
37,152,419
38,141,429
39,139,445
40,138,455
41,137,445
42,137,433
43,146,428
44,135,420
45,144,417
46,142,412
47,141,411
48,140,411
49,138,411
50,136,415
51,134,419
52,134,426
53,132,434
54,129,443
55,128,455
56,126,443
57,126,436
58,129,420
59,134,404
60,126,393
61,127,388
62,124,380
63,125,371
64,126,373
65,134,373
66,134,369
67,124,369
68,126,376
69,125,384
70,124,389
71,124,394
72,123,413
73,120,427
74,119,408
75,127,382
76,125,362
77,136,343
78,122,325
79,131,309
80,130,305
81,130,290
82,129,279
83,133,269
84,138,272
85,140,267
86,139,263
87,139,260
88,138,260
89,138,273
90,141,279
91,141,285
92,140,291
93,140,297
94,139,309
95,140,325
96,143,316
97,144,310
98,149,289
99,150,292
100,152,286
101,153,283
102,156,277
103,159,273
104,161,282
105,162,283
106,165,287
107,168,293
108,170,297
109,172,306
110,174,312
111,172,299
112,159,288
113,155,278
114,154,269
115,160,263
116,149,259
117,152,255
118,145,254
120,141,255
121,139,258
128,118,303
130,124,265
131,131,246
132,130,228
134,131,196
138,131,158
140,136,150
147,139,154
148,139,160
149,139,168
201,160,199
202,162,190
203,164,181
204,172,160
205,176,156
206,178,153
207,179,152
208,186,138
209,188,139
210,191,144
211,193,150
212,200,156
213,199,166
214,207,163
215,208,176
216,211,191
217,213,207
218,223,215
219,227,230
220,229,220
221,233,211
222,238,243
223,239,199
224,243,194
225,252,188
226,261,183
227,265,182
228,269,186
229,271,193
230,275,202
231,277,213
232,282,224
233,286,234
234,300,246
235,304,266
236,307,288
237,311,314
238,314,343
239,319,375
240,322,408
241,325,437
242,322,433
243,304,425
244,287,407
