frame,x,y
0,176,499
1,175,504
2,178,522
3,180,528
4,179,509
5,177,502
6,175,478
7,181,458
8,179,459
9,179,444
10,178,431
11,176,436
12,171,431
13,180,427
14,179,441
15,177,442
16,175,444
17,174,461
18,172,473
19,169,486
20,179,514
21,176,525
22,171,498
23,170,495
24,169,476
25,186,487
26,189,466
27,173,451
28,169,451
29,168,456
30,164,476
31,166,475
32,162,471
33,197,470
34,200,479
35,201,486
36,199,486
38,199,490
39,198,490
41,175,482
42,148,477
43,136,467
44,133,455
45,132,454
46,132,458
47,150,463
48,137,465
49,136,472
50,160,484
51,128,493
52,128,508
53,129,499
54,134,478
55,139,459
56,147,457
57,156,453
58,176,471
59,161,431
60,165,425
61,171,424
62,173,421
63,177,424
64,181,429
65,171,437
66,173,449
67,178,461
68,181,476
69,185,493
70,189,512
71,188,501
72,187,490
73,184,481
74,182,475
75,178,472
76,183,468
77,185,456
78,183,458
79,181,465
80,179,475
81,177,488
82,174,503
83,171,508
84,174,511
85,176,491
86,180,484
87,178,478
88,179,474
89,176,473
90,175,474
91,177,481
92,179,489
93,182,498
94,185,512
95,188,528
96,180,546
97,182,538
98,191,514
99,189,493
100,187,492
101,186,480
102,188,470
103,192,464
104,205,458
105,202,453
106,199,468
107,197,470
108,198,474
109,198,489
110,199,500
111,201,514
112,209,523
113,210,504
114,210,485
115,208,468
116,201,460
117,198,487
118,194,432
119,197,421
120,198,417
121,198,417
122,197,419
123,197,428
124,175,433
125,177,440
126,180,449
127,181,460
128,181,479
129,181,499
130,179,509
131,174,473
132,176,462
133,185,431
134,184,403
135,161,372
136,159,350
137,168,341
138,165,324
139,160,308
140,154,294
141,153,300
142,150,296
143,147,291
144,144,289
145,153,302
146,149,307
147,144,313
148,139,322
149,137,340
150,134,361
151,131,379
152,131,360
153,131,340
154,131,324
155,131,310
156,131,285
157,131,277
158,133,275
159,131,269
160,130,269
161,127,261
162,123,267
163,122,274
164,120,286
165,120,301
166,118,318
167,113,353
168,65,381
169,57,385
170,56,387
171,28,356
172,28,353
173,28,352
174,28,351
175,28,352
176,28,353
177,28,353
178,28,354
179,28,355
180,28,356
181,28,357
182,28,357
183,28,357
184,28,358
185,28,358
186,28,359
187,28,359
188,28,358
189,28,359
190,28,358
191,28,357
192,28,356
193,28,355
194,28,354
195,28,354
196,28,354
197,28,354
198,28,354
199,28,354
200,28,354
201,28,355
202,28,356
203,28,356
204,28,355
205,28,355
206,28,355
207,28,355
208,28,354
209,28,353
210,28,353
211,28,353
212,28,359
213,36,359
214,29,356
215,28,355
216,28,355
217,28,355
218,28,355
219,28,355
220,28,354
221,28,353
222,28,349
223,28,304
224,28,301
225,29,269
226,32,241
227,35,216
228,38,194
229,40,175
230,43,159
231,47,125
232,50,115
233,51,110
234,52,107
235,54,107
236,56,112
237,59,119
238,90,161
239,94,173
240,98,186
241,101,197
242,103,213
243,106,234
244,107,261
245,110,291
246,112,324
247,114,354
248,112,336
249,110,318
250,108,304
251,106,292
252,105,284
253,104,277
254,102,274
255,100,263
256,97,268
257,95,273
258,93,278
259,90,290
260,88,303
261,85,320
262,81,341
263,44,385
264,28,356
265,28,355
266,28,357
267,28,358
268,28,360
269,28,359
270,28,359
271,28,360
272,28,359
273,28,360
274,28,358
275,28,358
276,28,351
277,37,295
278,57,315
279,83,359
280,85,388
281,84,422
282,84,458
283,84,490
284,84,521
285,93,555
286,85,508
287,87,483
288,89,439
289,46,394
290,28,353
291,28,353
292,28,357
293,28,355
294,28,355
295,28,354
296,29,353
297,32,353
